"yil","aldigi_sehir","sehir","sayi"
"","","Göç Alan:Bitlis","28"
"","","Göç Alan:Bolu","44"
"","","Göç Alan:Burdur","58"
"","","Göç Alan:Bursa","274"
"","","Göç Alan:Çanakkale","35"
"","","Göç Alan:Çankırı","38"
"","","Göç Alan:Çorum","55"
"","","Göç Alan:Denizli","102"
"","","Göç Alan:Diyarbakır","141"
"","","Göç Alan:Düzce","43"
"","","Göç Alan:Edirne","21"
"","","Göç Alan:Elazığ","70"
"","","Göç Alan:Erzincan","47"
"","","Göç Alan:Erzurum","130"
"","","Göç Alan:Eskişehir","120"
"","","Göç Alan:Gaziantep","144"
"","","Göç Alan:Giresun","44"
"","","Göç Alan:Gümüşhane","110"
"","","Göç Alan:Hakkari","39"
"","","Göç Alan:Hatay","174"
"","","Göç Alan:Iğdır","22"
"","","Göç Alan:Isparta","73"
"","","Göç Alan:İstanbul","1910"
"","","Göç Alan:İzmir","475"
"","","Göç Alan:Kahramanmaraş","111"
"","","Göç Alan:Karabük","40"
"","","Göç Alan:Karaman","136"
"","","Göç Alan:Kars","35"
"","","Göç Alan:Kastamonu","90"
"","","Göç Alan:Kayseri","458"
"","","Göç Alan:Kilis","25"
"","","Göç Alan:Kırıkkale","103"
"","","Göç Alan:Kırklareli","49"
"","","Göç Alan:Kırşehir","396"
"","","Göç Alan:Kocaeli","224"
"","","Göç Alan:Konya","1935"
"","","Göç Alan:Kütahya","59"
"","","Göç Alan:Malatya","79"
"","","Göç Alan:Manisa","100"
"","","Göç Alan:Mardin","52"
"","","Göç Alan:Mersin","402"
"","","Göç Alan:Muğla","155"
"","","Göç Alan:Muş","30"
"","","Göç Alan:Nevşehir","300"
"","","Göç Alan:Niğde","360"
"","","Göç Alan:Ordu","46"
"","","Göç Alan:Osmaniye","120"
"","","Göç Alan:Rize","32"
"","","Göç Alan:Sakarya","66"
"","","Göç Alan:Samsun","127"
"","","Göç Alan:Şanlıurfa","138"
"","","Göç Alan:Siirt","27"
"","","Göç Alan:Sinop","15"
"","","Göç Alan:Şırnak","40"
"","","Göç Alan:Sivas","88"
"","","Göç Alan:Tekirdağ","231"
"","","Göç Alan:Tokat","46"
"","","Göç Alan:Trabzon","62"
"","","Göç Alan:Tunceli","13"
"","","Göç Alan:Uşak","70"
"","","Göç Alan:Van","74"
"","","Göç Alan:Yalova","27"
"","","Göç Alan:Yozgat","93"
"","","Göç Alan:Zonguldak","45"
"","Amasya-5","Göç Alan:Adana","74"
"","","Göç Alan:Adıyaman","38"
"","","Göç Alan:Afyonkarahisar","39"
"","","Göç Alan:Ağrı","115"
"","","Göç Alan:Aksaray","41"
"","","Göç Alan:Amasya","0"
"","","Göç Alan:Ankara","1861"
"","","Göç Alan:Antalya","328"
"","","Göç Alan:Ardahan","15"
"","","Göç Alan:Artvin","30"
"","","Göç Alan:Aydın","131"
"","","Göç Alan:Balıkesir","485"
"","","Göç Alan:Bartın","35"
"","","Göç Alan:Batman","16"
"","","Göç Alan:Bayburt","30"
"","","Göç Alan:Bilecik","14"
"","","Göç Alan:Bingöl","44"
"","","Göç Alan:Bitlis","49"
"","","Göç Alan:Bolu","48"
"","","Göç Alan:Burdur","16"
"","","Göç Alan:Bursa","236"
"","","Göç Alan:Çanakkale","68"
"","","Göç Alan:Çankırı","48"
"","","Göç Alan:Çorum","731"
"","","Göç Alan:Denizli","62"
"","","Göç Alan:Diyarbakır","67"
"","","Göç Alan:Düzce","31"
"","","Göç Alan:Edirne","34"
"","","Göç Alan:Elazığ","62"
"","","Göç Alan:Erzincan","56"
"","","Göç Alan:Erzurum","138"
"","","Göç Alan:Eskişehir","131"
"","","Göç Alan:Gaziantep","93"
"","","Göç Alan:Giresun","93"
"","","Göç Alan:Gümüşhane","79"
"","","Göç Alan:Hakkari","33"
"","","Göç Alan:Hatay","95"
"","","Göç Alan:Iğdır","19"
"","","Göç Alan:Isparta","33"
"","","Göç Alan:İstanbul","3338"
"","","Göç Alan:İzmir","542"
"","","Göç Alan:Kahramanmaraş","47"
"","","Göç Alan:Karabük","36"
"","","Göç Alan:Karaman","17"
"","","Göç Alan:Kars","68"
"","","Göç Alan:Kastamonu","109"
"","","Göç Alan:Kayseri","172"
"","","Göç Alan:Kilis","6"
"","","Göç Alan:Kırıkkale","72"
"","","Göç Alan:Kırklareli","46"
"","","Göç Alan:Kırşehir","37"
"","","Göç Alan:Kocaeli","340"
"","","Göç Alan:Konya","241"
"","","Göç Alan:Kütahya","47"
"","","Göç Alan:Malatya","60"
"","","Göç Alan:Manisa","67"
"","","Göç Alan:Mardin","41"
"","","Göç Alan:Mersin","106"
"","","Göç Alan:Muğla","110"
"","","Göç Alan:Muş","28"
"","","Göç Alan:Nevşehir","42"
"","","Göç Alan:Niğde","35"
"","","Göç Alan:Ordu","206"
"","","Göç Alan:Osmaniye","37"
"","","Göç Alan:Rize","55"
"","","Göç Alan:Sakarya","89"
"","","Göç Alan:Samsun","1351"
"","","Göç Alan:Şanlıurfa","67"
"","","Göç Alan:Siirt","39"
"","","Göç Alan:Sinop","114"
"","","Göç Alan:Şırnak","50"
"","","Göç Alan:Sivas","192"
"","","Göç Alan:Tekirdağ","240"
"","","Göç Alan:Tokat","775"
"","","Göç Alan:Trabzon","159"
"","","Göç Alan:Tunceli","25"
"","","Göç Alan:Uşak","16"
"","","Göç Alan:Van","87"
"","","Göç Alan:Yalova","25"
"","","Göç Alan:Yozgat","111"
"","","Göç Alan:Zonguldak","54"
"","Ankara-6","Göç Alan:Adana","2319"
"","","Göç Alan:Adıyaman","451"
"","","Göç Alan:Afyonkarahisar","1480"
"","","Göç Alan:Ağrı","876"
"","","Göç Alan:Aksaray","1374"
"","","Göç Alan:Amasya","1153"
"","","Göç Alan:Ankara","0"
"","","Göç Alan:Antalya","6900"
"","","Göç Alan:Ardahan","396"
"","","Göç Alan:Artvin","773"
"","","Göç Alan:Aydın","4932"
"","","Göç Alan:Balıkesir","4943"
"","","Göç Alan:Bartın","907"
"","","Göç Alan:Batman","693"
"","","Göç Alan:Bayburt","301"
"","","Göç Alan:Bilecik","411"
"","","Göç Alan:Bingöl","481"
"","","Göç Alan:Bitlis","613"
"","","Göç Alan:Bolu","2143"
"","","Göç Alan:Burdur","349"
"","","Göç Alan:Bursa","3560"
"","","Göç Alan:Çanakkale","1327"
"","","Göç Alan:Çankırı","4898"
"","","Göç Alan:Çorum","3660"
"","","Göç Alan:Denizli","1123"
"","","Göç Alan:Diyarbakır","2408"
"","","Göç Alan:Düzce","775"
"","","Göç Alan:Edirne","530"
"","","Göç Alan:Elazığ","988"
"","","Göç Alan:Erzincan","921"
"","","Göç Alan:Erzurum","1959"
"","","Göç Alan:Eskişehir","3797"
"","","Göç Alan:Gaziantep","1627"
"","","Göç Alan:Giresun","837"
"","","Göç Alan:Gümüşhane","1662"
"","","Göç Alan:Hakkari","536"
"","","Göç Alan:Hatay","1638"
"","","Göç Alan:Iğdır","457"
"","","Göç Alan:Isparta","1082"
"","","Göç Alan:İstanbul","18688"
"","","Göç Alan:İzmir","10160"
"","","Göç Alan:Kahramanmaraş","956"
"","","Göç Alan:Karabük","1450"
"","","Göç Alan:Karaman","416"
"","","Göç Alan:Kars","864"
"","","Göç Alan:Kastamonu","1416"
"","","Göç Alan:Kayseri","3251"
"","","Göç Alan:Kilis","120"
"","","Göç Alan:Kırıkkale","5190"
"","","Göç Alan:Kırklareli","541"
"","","Göç Alan:Kırşehir","2137"
"","","Göç Alan:Kocaeli","2764"
"","","Göç Alan:Konya","6261"
"","","Göç Alan:Kütahya","997"
"","","Göç Alan:Malatya","1517"
"","","Göç Alan:Manisa","1182"
"","","Göç Alan:Mardin","1071"
"","","Göç Alan:Mersin","3905"
"","","Göç Alan:Muğla","5559"
"","","Göç Alan:Muş","528"
"","","Göç Alan:Nevşehir","1003"
"","","Göç Alan:Niğde","988"
"","","Göç Alan:Ordu","1471"
"","","Göç Alan:Osmaniye","583"
"","","Göç Alan:Rize","989"
"","","Göç Alan:Sakarya","1706"
"","","Göç Alan:Samsun","2552"
"","","Göç Alan:Şanlıurfa","1976"
"","","Göç Alan:Siirt","460"
"","","Göç Alan:Sinop","573"
"","","Göç Alan:Şırnak","852"
"","","Göç Alan:Sivas","3045"
"","","Göç Alan:Tekirdağ","1105"
"","","Göç Alan:Tokat","1844"
"","","Göç Alan:Trabzon","1958"
"","","Göç Alan:Tunceli","496"
"","","Göç Alan:Uşak","408"
"","","Göç Alan:Van","1845"
"","","Göç Alan:Yalova","600"
"","","Göç Alan:Yozgat","3472"
"","","Göç Alan:Zonguldak","1433"
"","Antalya-7","Göç Alan:Adana","1564"
"","","Göç Alan:Adıyaman","445"
"","","Göç Alan:Afyonkarahisar","1429"
"","","Göç Alan:Ağrı","182"
"","","Göç Alan:Aksaray","439"
"","","Göç Alan:Amasya","164"
"","","Göç Alan:Ankara","5147"
"","","Göç Alan:Antalya","0"
"","","Göç Alan:Ardahan","48"
"","","Göç Alan:Artvin","143"
"","","Göç Alan:Aydın","1225"
"","","Göç Alan:Balıkesir","676"
"","","Göç Alan:Bartın","92"
"","","Göç Alan:Batman","390"
"","","Göç Alan:Bayburt","109"
"","","Göç Alan:Bilecik","118"
"","","Göç Alan:Bingöl","109"
"","","Göç Alan:Bitlis","167"
"","","Göç Alan:Bolu","212"
"","","Göç Alan:Burdur","2514"
"","","Göç Alan:Bursa","1257"
"","","Göç Alan:Çanakkale","387"
"","","Göç Alan:Çankırı","158"
"","","Göç Alan:Çorum","356"
"","","Göç Alan:Denizli","1499"
"","","Göç Alan:Diyarbakır","947"
"","","Göç Alan:Düzce","131"
"","","Göç Alan:Edirne","147"
"","","Göç Alan:Elazığ","305"
"","","Göç Alan:Erzincan","262"
"","","Göç Alan:Erzurum","487"
"","","Göç Alan:Eskişehir","1080"
"","","Göç Alan:Gaziantep","1191"
"","","Göç Alan:Giresun","288"
"","","Göç Alan:Gümüşhane","408"
"","","Göç Alan:Hakkari","121"
"","","Göç Alan:Hatay","1565"
"","","Göç Alan:Iğdır","94"
"","","Göç Alan:Isparta","3190"
"","","Göç Alan:İstanbul","8758"
"","","Göç Alan:İzmir","3295"
"","","Göç Alan:Kahramanmaraş","926"
"","","Göç Alan:Karabük","192"
"","","Göç Alan:Karaman","552"
"","","Göç Alan:Kars","159"
"","","Göç Alan:Kastamonu","168"
"","","Göç Alan:Kayseri","1132"
"","","Göç Alan:Kilis","126"
"","","Göç Alan:Kırıkkale","286"
"","","Göç Alan:Kırklareli","164"
"","","Göç Alan:Kırşehir","246"
"","","Göç Alan:Kocaeli","811"
"","","Göç Alan:Konya","3607"
"","","Göç Alan:Kütahya","608"
"","","Göç Alan:Malatya","431"
"","","Göç Alan:Manisa","929"
"","","Göç Alan:Mardin","461"
"","","Göç Alan:Mersin","1720"
"","","Göç Alan:Muğla","2084"
"","","Göç Alan:Muş","169"
"","","Göç Alan:Nevşehir","257"
"","","Göç Alan:Niğde","301"
"","","Göç Alan:Ordu","331"
"","","Göç Alan:Osmaniye","560"
"","","Göç Alan:Rize","170"
"","","Göç Alan:Sakarya","407"
"","","Göç Alan:Samsun","554"
"","","Göç Alan:Şanlıurfa","1447"
"","","Göç Alan:Siirt","118"
"","","Göç Alan:Sinop","107"
"","","Göç Alan:Şırnak","238"
"","","Göç Alan:Sivas","646"
"","","Göç Alan:Tekirdağ","404"
"","","Göç Alan:Tokat","370"
"","","Göç Alan:Trabzon","397"
"","","Göç Alan:Tunceli","111"
"","","Göç Alan:Uşak","599"
"","","Göç Alan:Van","917"
"","","Göç Alan:Yalova","186"
"","","Göç Alan:Yozgat","314"
"","","Göç Alan:Zonguldak","327"
"","Ardahan-75","Göç Alan:Adana","65"
"","","Göç Alan:Adıyaman","23"
"","","Göç Alan:Afyonkarahisar","49"
"","","Göç Alan:Ağrı","31"
"","","Göç Alan:Aksaray","6"
"","","Göç Alan:Amasya","33"
"","","Göç Alan:Ankara","612"
"","","Göç Alan:Antalya","76"
"","","Göç Alan:Ardahan","0"
"","","Göç Alan:Artvin","83"
"","","Göç Alan:Aydın","30"
"","","Göç Alan:Balıkesir","71"
"","","Göç Alan:Bartın","18"
"","","Göç Alan:Batman","28"
"","","Göç Alan:Bayburt","18"
"","","Göç Alan:Bilecik","31"
"","","Göç Alan:Bingöl","8"
"","","Göç Alan:Bitlis","5"
"","","Göç Alan:Bolu","24"
"","","Göç Alan:Burdur","14"
"","","Göç Alan:Bursa","561"
"","","Göç Alan:Çanakkale","48"
"","","Göç Alan:Çankırı","28"
"","","Göç Alan:Çorum","15"
"","","Göç Alan:Denizli","26"
"","","Göç Alan:Diyarbakır","46"
"","","Göç Alan:Düzce","22"
"","","Göç Alan:Edirne","32"
"","","Göç Alan:Elazığ","56"
"","","Göç Alan:Erzincan","28"
"","","Göç Alan:Erzurum","222"
