"cinsiyet","","","yil","il","sayi",""
"","","","","Elazığ(Arıcak)-1762","181",""
"","","","","Elazığ(Baskil)-1173","99",""
"","","","","Elazığ(Karakoçan)-1438","291",""
"","","","","Elazığ(Keban)-1455","51",""
"","","","","Elazığ(Kovancılar)-1820","457",""
"","","","","Elazığ(Maden)-1506","105",""
"","","","","Elazığ(Merkez)-1298","3284",""
"","","","","Elazığ(Palu)-1566","226",""
"","","","","Elazığ(Sivrice)-1631","59",""
"","","","","Erzincan(Çayırlı)-1243","73",""
"","","","","Erzincan(İliç)-1406","61",""
"","","","","Erzincan(Kemah)-1459","23",""
"","","","","Erzincan(Kemaliye)-1460","20",""
"","","","","Erzincan(Merkez)-1318","1151",""
"","","","","Erzincan(Otlukbeli)-1977","18",""
"","","","","Erzincan(Refahiye)-1583","63",""
"","","","","Erzincan(Tercan)-1675","129",""
"","","","","Erzincan(Üzümlü)-1853","76",""
"","","","","Erzurum(Aşkale)-1153","265",""
"","","","","Erzurum(Aziziye)-1945","539",""
"","","","","Erzurum(Çat)-1235","223",""
"","","","","Erzurum(Hınıs)-1392","352",""
"","","","","Erzurum(Horasan)-1396","571",""
"","","","","Erzurum(İspir)-1416","105",""
"","","","","Erzurum(Karaçoban)-1812","425",""
"","","","","Erzurum(Karayazı)-1444","424",""
"","","","","Erzurum(Köprüköy)-1967","276",""
"","","","","Erzurum(Narman)-1540","133",""
"","","","","Erzurum(Oltu)-1550","269",""
"","","","","Erzurum(Olur)-1551","34",""
"","","","","Erzurum(Palandöken)-2044","1717",""
"","","","","Erzurum(Pasinler)-1567","358",""
"","","","","Erzurum(Pazaryolu)-1865","25",""
"","","","","Erzurum(Şenkaya)-1657","142",""
"","","","","Erzurum(Tekman)-1674","383",""
"","","","","Erzurum(Tortum)-1683","128",""
"","","","","Erzurum(Uzundere)-1851","61",""
"","","","","Erzurum(Yakutiye)-2045","1758",""
"","","","","Eskişehir(Alpu)-1759","81",""
"","","","","Eskişehir(Beylikova)-1777","31",""
"","","","","Eskişehir(Çifteler)-1255","99",""
"","","","","Eskişehir(Günyüzü)-1934","31",""
"","","","","Eskişehir(Han)-1939","9",""
"","","","","Eskişehir(İnönü)-1808","34",""
"","","","","Eskişehir(Mahmudiye)-1508","62",""
"","","","","Eskişehir(Mihalgazi)-1973","9",""
"","","","","Eskişehir(Mihalıççık)-1527","48",""
"","","","","Eskişehir(Odunpazarı)-2046","2429",""
"","","","","Eskişehir(Sarıcakaya)-1599","24",""
"","","","","Eskişehir(Seyitgazi)-1618","75",""
"","","","","Eskişehir(Sivrihisar)-1632","120",""
"","","","","Eskişehir(Tepebaşı)-2047","2065",""
"","","","","Gaziantep(Araban)-1139","422",""
"","","","","Gaziantep(İslahiye)-1415","689",""
"","","","","Gaziantep(Karkamış)-1956","115",""
"","","","","Gaziantep(Nizip)-1546","1754",""
"","","","","Gaziantep(Nurdağı)-1974","440",""
"","","","","Gaziantep(Oğuzeli)-1549","354",""
"","","","","Gaziantep(Şahinbey)-1841","11446",""
"","","","","Gaziantep(Şehitkamil)-1844","9643",""
"","","","","Gaziantep(Yavuzeli)-1720","356",""
"","","","","Giresun(Alucra)-1133","50",""
"","","","","Giresun(Bulancak)-1212","424",""
"","","","","Giresun(Çamoluk)-1893","23",""
"","","","","Giresun(Çanakçı)-1894","27",""
"","","","","Giresun(Dereli)-1272","104",""
"","","","","Giresun(Doğankent)-1912","33",""
"","","","","Giresun(Espiye)-1320","196",""
"","","","","Giresun(Eynesil)-1324","54",""
"","","","","Giresun(Görele)-1361","165",""
"","","","","Giresun(Güce)-1930","58",""
"","","","","Giresun(Keşap)-1465","104",""
"","","","","Giresun(Merkez)-1352","739",""
"","","","","Giresun(Piraziz)-1837","63",""
"","","","","Giresun(Şebinkarahisar)-1654","129",""
"","","","","Giresun(Tirebolu)-1678","138",""
"","","","","Giresun(Yağlıdere)-1854","129",""
"","","","","Gümüşhane(Kelkit)-1458","315",""
"","","","","Gümüşhane(Köse)-1822","49",""
